key,value
"Not Specified",676148
"White",384093
"Black or African American",227290
"Unknown",214716
"American Indian or Alaska Native",7661
"Asian",7006
"Native Hawaiian or Other Pacific Islander",2027
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
