key,value
"White",1890458
"Black or African American",1345495
"Unknown",139361
"Asian",54331
"American Indian or Alaska Native",49991
"Native Hawaiian or Other Pacific Islander",11038
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
