key,value
"White",24969
"Black or African American",18873
"Asian",5264
"Not Specified",1709
"Unknown",1503
"American Indian or Alaska Native",252
"Native Hawaiian or Other Pacific Islander",126
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
