key,value
"White",54
"Unknown",11
"Not Specified",6
"Black or African American",4
"American Indian or Alaska Native",1
"Asian",0
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Native Hawaiian or Other Pacific Islander",0
