key,value
"Not Specified",404720
"White",265163
"Black or African American",41842
"Unknown",39783
"Asian",12301
"American Indian or Alaska Native",2075
"Native Hawaiian or Other Pacific Islander",932
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
