key,value
"White",750721
"Black or African American",167881
"Unknown",125225
"Asian",39610
"Not Specified",36735
"American Indian or Alaska Native",5099
"Native Hawaiian or Other Pacific Islander",2049
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
