key,value
"White",2402
"Asian",1441
"Unknown",991
"Black or African American",949
"Not Specified",833
"Native Hawaiian or Other Pacific Islander",404
"American Indian or Alaska Native",69
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
