key,value
"White",59157
"Not Specified",59015
"Black or African American",24602
"Unknown",22655
"American Indian or Alaska Native",1731
"Asian",1334
"Native Hawaiian or Other Pacific Islander",433
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
