key,value
"Not Specified",242167
"White",102797
"Unknown",65897
"Black or African American",49921
"Asian",4667
"American Indian or Alaska Native",3725
"Native Hawaiian or Other Pacific Islander",570
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
