key,value
"White",615164
"Black or African American",162253
"Not Specified",135535
"Unknown",75415
"Asian",24809
"American Indian or Alaska Native",5334
"Native Hawaiian or Other Pacific Islander",2453
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
