key,value
"White",5324
"Black or African American",1036
"Unknown",460
"American Indian or Alaska Native",163
"Asian",57
"Native Hawaiian or Other Pacific Islander",34
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
