key,value
"White",3927333
"Black or African American",1842805
"Unknown",180376
"Not Specified",138339
"American Indian or Alaska Native",94498
"Asian",56531
"Native Hawaiian or Other Pacific Islander",18670
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
