key,value
"White",3773078
"Not Specified",1938006
"Black or African American",1719236
"Unknown",418362
"Asian",168328
"American Indian or Alaska Native",54779
"Native Hawaiian or Other Pacific Islander",16404
"Multiple",1
"Asian, Native Hawaiian, or Other Pacific Islander",0
