key,value
"White",2085191
"Black or African American",854733
"Not Specified",353605
"Unknown",285209
"Asian",84881
"American Indian or Alaska Native",22614
"Native Hawaiian or Other Pacific Islander",10995
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
