key,value
"White",323376
"Black or African American",80204
"Unknown",35092
"Asian",8085
"American Indian or Alaska Native",6656
"Native Hawaiian or Other Pacific Islander",1566
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
