key,value
"Black or African American",865893
"White",778673
"Not Specified",224742
"Unknown",117929
"Asian",18235
"American Indian or Alaska Native",17762
"Native Hawaiian or Other Pacific Islander",4542
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
